ADHI,
ADRO,
AKRA,
ANTM,
ASII,
BBCA,
BBNI,
BBRI,
BBTN,
BJBR,
BKSL,
BMRI,
BRPT,
BSDE,
ELSA,
EXCL,
GGRM,
HMSP,
ICBP,
INCO,
INDF,
INDY,
INKP,
INTP,
ITMG,
JSMR,
KLBF,
LPKR,
LPPF,
MEDC,
MNCN,
PGAS,
PTBA,Tetap
PTPP,
SCMA,
SMGR,
SRIL,
SSMS,
TLKM,
TPIA,
UNTR,
UNVR,
WIKA,
WSBP,
WSKT,
